Date,Open.x,High.x,Low.x,Close.x,Open.y,High.y,Low.y,Close.y
27/04/2012,6662.31,6825.41,6652.51,6801.32,3195.41,3282.65,3172.8,3266.27
30/04/2012,6844.1,6846.66,6759.9,6761.19,3270.78,3273.06,3209.31,3212.8
02/05/2012,6861.3,6875.87,6664.57,6710.77,3265.12,3267.07,3208.42,3226.33
03/05/2012,6749.27,6791.75,6648.5,6694.44,3242.45,3273.72,3207.54,3223.36
04/05/2012,6682.96,6684.89,6546,6561.47,3210.9,3229.42,3153.92,3161.97
07/05/2012,6515.94,6578.95,6410.03,6569.48,3112.47,3219.41,3104.49,3214.22
08/05/2012,6548.74,6576.72,6415.03,6444.74,3190.18,3190.18,3111.11,3124.8
09/05/2012,6483.27,6506.21,6375.79,6475.31,3138.01,3146.59,3075.88,3118.65
10/05/2012,6531.15,6549.77,6440.23,6518,3136.16,3145.06,3073.38,3130.17
11/05/2012,6465.19,6589.01,6454.21,6579.93,3107.6,3134.62,3077.41,3129.77
14/05/2012,6499.79,6520.86,6404.28,6451.97,3093.36,3098.16,3038.97,3057.99
15/05/2012,6501.93,6509.65,6353.26,6401.06,3079.83,3098.8,3020.81,3039.27
16/05/2012,6344.92,6442.97,6297.38,6384.26,3017.42,3081.74,2998.03,3048.67
17/05/2012,6401.15,6413.05,6291.1,6308.96,3054.58,3059.23,3002.68,3011.99
18/05/2012,6254.82,6335.55,6229.3,6271.22,2980.86,3031.83,2970.1,3008
21/05/2012,6269.31,6364.4,6244.02,6331.04,2997.19,3043.43,2984.72,3027.15
22/05/2012,6381.83,6446,6351.02,6435.6,3051.61,3093.92,3032,3084.09
23/05/2012,6352.43,6373.79,6258.85,6285.75,3050.2,3053.74,2994.15,3003.27
24/05/2012,6338.12,6351.1,6244.48,6315.89,3028.84,3053.11,2987.9,3038.25
25/05/2012,6334.15,6406.96,6279.55,6339.94,3044.66,3070.84,3016.27,3047.94
28/05/2012,6425.1,6426.27,6311.33,6323.19,3068.34,3087.76,3034.09,3042.97
29/05/2012,6396.65,6441.26,6334.75,6396.84,3058.96,3099.84,3036.88,3084.7
30/05/2012,6360.79,6392.21,6258.89,6280.8,3051.25,3078.83,3006.28,3015.58
31/05/2012,6297.68,6322.69,6208.09,6264.38,3028.93,3042.75,2986.22,3017.01
01/06/2012,6259.76,6259.76,6008.47,6050.29,3028.3,3028.3,2922.26,2950.47
04/06/2012,5976.46,6030.81,5942.38,5978.23,2928.91,2987.15,2927.01,2954.49
